ref_date,gender,empl,emplFull,emplPart,emplRate,labForce,participRate,population,unempl,unemplRate
1977-09,Women+,3748.6,2834.5,914.1,42.3,4135.2,46.6,8864.5,386.6,9.3
1977-10,Men+,6205.3,5808.3,397.0,71.6,6709.6,77.5,8662.1,504.3,7.5
1977-10,Total - Gender,9962.1,8639.8,1322.3,56.8,10875.5,62.0,17540.6,913.4,8.4
1977-10,Women+,3756.8,2831.5,925.3,42.3,4165.9,46.9,8878.5,409.1,9.8
1977-11,Men+,6213.8,5823.4,390.3,71.6,6735.9,77.6,8675.0,522.1,7.8
1977-11,Total - Gender,9976.3,8655.7,1320.6,56.8,10901.7,62.1,17567.5,925.4,8.5
1977-11,Women+,3762.6,2832.3,930.3,42.3,4165.8,46.8,8892.5,403.2,9.7
1977-12,Men+,6217.3,5824.2,393.1,71.6,6745.0,77.6,8686.9,527.7,7.8
1977-12,Total - Gender,10002.3,8668.9,1333.4,56.9,10928.9,62.1,17592.8,926.6,8.5
1977-12,Women+,3785.0,2844.7,940.2,42.5,4183.9,47.0,8905.9,398.9,9.5
1978-01,Men+,6213.1,5826.3,386.8,71.4,6724.1,77.3,8701.6,511.0,7.6
1978-01,Total - Gender,10013.0,8692.2,1320.8,56.8,10918.1,62.0,17623.5,905.1,8.3
1978-01,Women+,3799.9,2866.0,934.0,42.6,4194.0,47.0,8922.0,394.1,9.4
1978-02,Men+,6250.8,5873.3,377.6,71.7,6767.5,77.6,8715.7,516.6,7.6
1978-02,Total - Gender,10067.5,8747.7,1319.8,57.0,10981.4,62.2,17653.9,913.8,8.3
1978-02,Women+,3816.7,2874.5,942.2,42.7,4213.9,47.1,8938.2,397.2,9.4
1978-03,Men+,6266.4,5881.4,385.0,71.8,6798.1,77.9,8727.7,531.7,7.8
1978-03,Total - Gender,10100.3,8781.5,1318.8,57.1,11041.6,62.5,17679.3,941.2,8.5
1978-03,Women+,3833.9,2900.1,933.8,42.8,4243.5,47.4,8951.6,409.6,9.7
1978-04,Men+,6267.0,5872.5,394.5,71.7,6801.2,77.8,8740.9,534.2,7.9
1978-04,Total - Gender,10128.7,8782.0,1346.7,57.2,11060.3,62.5,17706.9,931.6,8.4
1978-04,Women+,3861.7,2909.5,952.2,43.1,4259.1,47.5,8966.0,397.5,9.3
1978-05,Men+,6282.1,5888.3,393.8,71.7,6813.4,77.8,8757.6,531.3,7.8
1978-05,Total - Gender,10146.7,8816.4,1330.2,57.2,11100.5,62.6,17741.6,953.9,8.6
1978-05,Women+,3864.5,2928.1,936.4,43.0,4287.1,47.7,8984.0,422.6,9.9
1978-06,Men+,6318.9,5917.4,401.5,72.1,6845.4,78.1,8769.9,526.5,7.7
1978-06,Total - Gender,10207.6,8852.0,1355.6,57.5,11146.1,62.7,17767.5,938.5,8.4
1978-06,Women+,3888.7,2934.6,954.1,43.2,4300.7,47.8,8997.6,412.0,9.6
