"educm","heightm","BMIm","healthm"
2,178,26.511805,3
3,177,22.343515,3
3,178,26.511805,4
3,179,19.974407,4
3,181,22.587833,3
2,170,21.107267,3
1,183,25.680075,4
1,173,24.391058,4
2,198,20.151005,3
2,185,22.790358,4
2,185,23.374725,3
3,194,24.710384,3
3,175,23.183674,4
2,185,26.004383,2
2,192,21.430122,3
3,187,22.877405,3
2,182,21.132713,3
1,185,24.251278,2
2,179,28.08901,2
3,185,19.284149,3
3,179,24.343809,3
2,177,25.216253,3
2,186,20.233553,3
2,180,25.308641,4
2,173,26.395803,3
2,178,26.511805,2
3,178,23.04002,4
2,175,22.204082,4
2,174,23.781214,4
3,178,24.93372,3
2,172,27.379665,4
2,172,27.379665,4
2,190,24.930748,4
2,190,22.714682,4
2,181,26.555965,4
2,177,22.024323,3
2,187,18.301924,3
2,182,25.661152,3
2,178,21.461937,4
2,182,24.151672,3
2,176,21.952478,3
2,198,20.40608,4
2,185,23.959095,4
2,184,35.444233,2
3,194,24.178978,4
2,185,27.757486,3
2,183,20.603781,2
2,178,22.724403,3
2,176,24.212294,3
2,193,28.188677,3
2,188,20.937075,3
3,200,20.5,3
2,184,25.697069,3
3,185,19.868517,3
2,183,25.680075,3
1,198,28.058361,3
1,192,26.041666,3
1,178,25.880571,4
2,180,25,2
2,185,21.913805,3
2,183,23.291229,4
2,190,24.930748,4
2,170,26.98962,4
2,186,26.59267,4
2,189,23.515579,4
2,176,29.377583,4
2,182,25.661152,3
2,178,24.93372,3
1,179,27.776911,3
3,179,26.528511,3
2,163,26.346495,2
2,178,24.93372,3
3,181,21.366869,4
1,187,28.024822,4
3,187,23.735308,4
2,172,27.717686,4
1,189,19.596315,3
2,183,26.277285,3
3,190,21.052631,3
2,185,21.913805,1
3,182,24.151672,3
3,187,26.309017,3
1,183,22.395414,3
2,185,21.913805,3
3,190,24.930748,3
3,178,23.04002,4
2,192,22.786459,4
2,193,26.309431,3
3,183,29.860552,1
1,173,25.059307,4
2,187,26.594984,3
2,184,25.697069,3
3,176,24.212294,3
2,175,26.12245,4
2,189,20.436157,3
2,172,26.365602,3
2,175,29.387754,4
2,178,20.199471,4
3,182,24.453568,4
3,187,22.305471,3
3,176,23.889463,3
1,187,26.309017,4
3,185,25.712198,4
2,187,24.59321,4
2,182,22.944088,3
3,180,18.518518,4
2,173,26.729927,3
2,202,17.645329,4
2,186,26.014568,4
2,170,23.875433,3
2,192,27.126736,3
3,175,26.12245,1
2,176,24.212294,4
2,185,23.374725,3
3,193,22.819405,3
2,185,23.374725,4
3,192,23.328993,3
2,186,21.967857,4
2,186,21.678806,3
2,185,24.251278,4
3,183,23.291229,4
2,170,23.183392,4
3,172,21.971336,4
2,173,21.049818,3
2,194,23.913275,2
2,174,27.08416,3
2,191,24.122147,3
3,180,25,3
1,170,25.951557,3
2,196,23.427738,3
3,187,17.72999,3
2,187,28.596758,4
3,175,26.775511,4
2,173,25.059307,4
3,183,20.902386,4
2,177,22.343515,4
3,187,24.59321,3
2,184,21.561909,3
1,187,20.875633,4
1,183,26.874496,4
