"Capital"
0.0040337
12.809
25.614
38.419
51.224
64.029
76.834
89.638
102.44
115.25
128.05
140.86
153.66
166.47
179.27
192.08
204.88
217.69
230.49
243.3
256.1
268.91
281.71
294.52
307.32
320.13
332.93
345.74
358.54
371.35
384.15
396.96
409.76
422.57
435.37
448.18
460.98
473.79
486.59
499.4
512.2
525.01
537.81
550.62
563.42
576.23
589.03
601.84
614.64
627.44
640.25
653.05
665.86
678.66
691.47
704.27
717.08
729.88
742.69
755.49
768.3
781.1
793.91
806.71
819.52
832.32
845.13
857.93
870.74
883.54
896.35
909.15
921.96
934.76
947.57
960.37
973.18
985.98
998.79
1011.6
1024.4
1037.2
1050
1062.8
1075.6
1088.4
1101.2
1114
1126.8
1139.6
1152.4
1165.3
1178.1
1190.9
1203.7
1216.5
1229.3
1242.1
1254.9
1267.7
