"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14"
30.459,32.545,35.311,38.541,42.137,45.957,49.532,40.021,42.169,45.013,48.33,52.028,55.98,59.683
30.708,32.776,35.535,38.751,42.326,46.133,49.691,40.238,42.365,45.197,48.503,52.188,56.125,59.817
30.944,33.005,35.759,38.961,42.51,46.306,49.845,40.44,42.559,45.384,48.673,52.346,56.267,59.949
31.182,33.235,35.985,39.163,42.691,46.471,49.998,40.645,42.757,45.568,48.842,52.498,56.407,60.078
31.423,33.473,36.201,39.36,42.874,46.634,50.151,40.848,42.953,45.751,49.01,52.648,56.545,60.205
31.663,33.704,36.412,39.548,43.056,46.796,50.3,41.048,43.144,45.934,49.176,52.799,56.682,60.332
31.901,33.932,36.616,39.739,43.234,46.954,50.445,41.252,43.337,46.109,49.337,52.946,56.818,60.456
32.142,34.16,36.826,39.93,43.405,47.112,50.591,41.454,43.526,46.28,49.496,53.092,56.95,60.578
32.39,34.376,37.028,40.122,43.576,47.27,50.736,41.654,43.709,46.451,49.65,53.237,57.083,60.7
32.625,34.595,37.23,40.306,43.741,47.428,50.879,41.841,43.892,46.618,49.803,53.38,57.213,60.819
32.839,34.805,37.423,40.486,43.909,47.581,51.018,42.027,44.067,46.784,49.959,53.52,57.341,60.937
33.05,35.007,37.612,40.661,44.075,47.73,51.157,42.216,44.241,46.949,50.113,53.659,57.469,61.053
33.265,35.207,37.805,40.838,44.24,47.878,51.295,42.397,44.415,47.109,50.263,53.798,57.595,61.169
33.479,35.403,37.992,41.012,44.401,48.024,51.431,42.582,44.586,47.271,50.41,53.934,57.718,61.283
33.679,35.601,38.174,41.187,44.558,48.17,51.563,42.751,44.756,47.429,50.554,54.067,57.84,61.397
33.876,35.795,38.355,41.36,44.713,48.313,51.694,42.925,44.924,47.582,50.698,54.201,57.961,61.509
34.073,35.984,38.536,41.528,44.869,48.455,51.826,43.101,45.084,47.734,50.843,54.331,58.082,61.62
34.272,36.169,38.715,41.693,45.024,48.597,51.956,43.272,45.241,47.885,50.985,54.459,58.201,61.73
34.463,36.354,38.899,41.86,45.176,48.736,52.085,43.434,45.4,48.037,51.127,54.588,58.319,61.839
34.654,36.542,39.077,42.022,45.325,48.872,52.211,43.597,45.562,48.188,51.263,54.715,58.436,61.947
34.847,36.733,39.248,42.181,45.473,49.006,52.335,43.76,45.721,48.339,51.397,54.841,58.55,62.053
35.037,36.918,39.415,42.34,45.617,49.141,52.459,43.926,45.878,48.484,51.533,54.965,58.663,62.158
35.227,37.098,39.585,42.497,45.762,49.275,52.583,44.087,46.032,48.626,51.666,55.087,58.775,62.261
35.419,37.279,39.756,42.653,45.906,49.407,52.704,44.251,46.183,48.768,51.797,55.208,58.886,62.363
35.611,37.455,39.924,42.808,46.047,49.537,52.823,44.411,46.336,48.909,51.928,55.33,58.997,62.465
35.803,37.634,40.088,42.959,46.188,49.664,52.943,44.567,46.487,49.048,52.057,55.449,59.107,62.565
35.987,37.811,40.246,43.105,46.325,49.791,53.06,44.725,46.633,49.186,52.184,55.566,59.216,62.666
36.166,37.977,40.402,43.253,46.46,49.916,53.177,44.877,46.775,49.321,52.312,55.683,59.324,62.765
36.339,38.138,40.558,43.398,46.597,50.043,53.293,45.025,46.917,49.454,52.438,55.798,59.429,62.864
36.507,38.302,40.715,43.544,46.732,50.168,53.408,45.173,47.061,49.588,52.56,55.911,59.533,62.962
36.676,38.467,40.868,43.689,46.866,50.29,53.52,45.319,47.202,49.722,52.682,56.025,59.636,63.058
36.842,38.627,41.018,43.832,46.998,50.41,53.631,45.467,47.341,49.852,52.802,56.139,59.74,63.153
37.01,38.784,41.165,43.971,47.128,50.529,53.741,45.614,47.477,49.979,52.923,56.25,59.842,63.247
